Artist,Song title,Popularity Score,Lyrics
The Fray,How to Save a Life,80,"Step one, you say, ""We need to talk""
He walks, you say, ""Sit down, it's just a talk""
He smiles politely back at you
You stare politely right on through

Some sort of window to your right
As he goes left, and you stay right
Between the lines of fear and blame
You begin to wonder why you came

Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

Let him know that you know best
'Cause after all, you do know best
Try to slip past his defense
Without granting innocence

Lay down a list of what is wrong
The things you've told him all along
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Daft Punk,"Harder, Better, Faster, Stronger",71,"Work it
Make it
Do it
Makes us

Harder
Better
Faster
Stronger

More than
Hour
Hour
Never

Ever
After
Work is
Over

Work it
Make it
Do it
Makes us

Harder
Better
Faster
Stronger

Work it harder, make it better
Do it faster, makes us stronger

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Kings of Leon,Use Somebody,76,"I've been roamin' around, always lookin' down at all I see
Painted faces fill the places I can't reach
You know that I could use somebody
You know that I could use somebody

Someone like you and all you know and how you speak
Countless lovers under cover of the street
You know that I could use somebody
You know that I could use somebody

Someone like you

Off in the night, while you live it up, I'm off to sleep
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Bangles,Eternal Flame,70,"Close your eyes, give me your hand, darling
Do you feel my heart beating?
Do you understand? Do you feel the same?
Am I only dreaming?
Is this burning an eternal flame?

I believe it's meant to be, darling
I watch you when you are sleeping
You belong with me
Do you feel the same? Am I only dreaming?
Or is this burning (burning) an eternal flame?

Say my name
Sun shines through the rain
A whole life so lonely
And then come and ease the pain
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Foo Fighters,Best of You,75,"I've got another confession to make
I'm your fool
Everyone's got their chains to break
Holding you

Were you born to resist or be abused?

Is someone getting the best, the best, the best
The best of you?
Is someone getting the best, the best, the best
The best of you?

Are you gone and on to someone new?
I needed somewhere to hang my head
Without your noose
You gave me something that I didn't have
But had no use

I was too weak to give in
Too strong to lose
My heart is under arrest again
But I break loose

My head is giving me life or death
But I can't choose
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Editors,Papillon,56,"Make our escape, you're my own papillon
The world turns too fast
Feel love before it's gone
It kicks like a sleep twitch!
My papillon, feel love when it's shone

It kicks like a sleep twitch!

Darling, just don't put down your guns yet
If there really was a God here
He'd have raised a hand by now
Now darling, you were born, get old and die here
Well that's quite enough for me
We'll find our own way home somehow

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Amy Winehouse,Love Is A Losing Game,67,"For you, I was a flame
Love is a losing game
Five story fire as you came
Love is a losing game
One I wished I never played
Oh, what a mess we made
And now, the final frame
Love is a losing game

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Tenacious D,Tribute,59,"This is the greatest and best song in the world

Tribute
Long time ago me and my brother Kyle here
We was hitchhiking down a long and lonesome road
All of a sudden
There shined a shiny demon
In the middle of the road
And he said!

Play the best song in the world, or I'll eat your soul (soul)
Well, me and Kyle
We looked at each other
And we each said
Okay

And we played the first thing that came to our heads
Just so happened to be
The best song in the world
It was the best song in the world

Look into my eyes and it's easy to see
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Coldplay,Talk,63,"Oh, brother, I can't, I can't get through
I've been trying hard to reach you 'cause I don't know what to do
Oh, brother, I can't believe it's true
I'm so scared about the future
And I wanna talk to you
Oh, I wanna talk to you

You can take a picture of something you see
In the future where will I be
You can climb a ladder up to the sun
Or write a song nobody has sung
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Pat Benatar,Love Is A Battlefield,54,"(We are young, we are young)
We are young (heartache to heartache)
Heartache to heartache we stand (we stand)
(No promises) no promises, (no demands) no demands
(Love is a battlefield) love is a battlefield

We are strong
No one can tell us we're wrong
Searchin' our hearts for so long
Both of us knowing
Love is a battlefield

You're beggin' me to go, then makin' me stay
Why do you hurt me so bad?
It would help me to know, do I stand in your way
Or am I the best thing you've had?

Believe me, believe me, I can't tell you why
But I'm trapped by your love
And I'm chained to your side
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Black Eyed Peas,I Gotta Feeling,69,"I got a feeling
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

A feeling
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

A feeling (woo-hoo)
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

A feeling (woo-hoo)
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

Tonight's the night, let's live it up
I got my money, let's spend it up (a fee-)
Go out and smash it, like, ""Oh my God""
Jump out that sofa, let's kick it, off (a fee-)

I know that we'll have a ball
If we get down and go out, and just lose it all
I feel, stressed out, I wanna let it go
Let's go way out, spaced out, and losin' all control
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
